T1:0;door;127.0.0.1;8084;1450174083;Open;0;0;1
T2:1;keychain;127.0.0.1;8083;1450174084;True;1;0;1
T3:2;motionsensor;127.0.0.1;8082;1450174085;True;1;1;1
1;keychain;127.0.0.1;8083;1450174094;False;3;2;2
2;motionsensor;127.0.0.1;8082;1450174095;False;3;3;2
1;keychain;127.0.0.1;8083;1450174099;False;4;3;2
2;motionsensor;127.0.0.1;8082;1450174100;False;4;4;2
1;keychain;127.0.0.1;8083;1450174104;True;5;4;3
2;motionsensor;127.0.0.1;8082;1450174105;True;5;5;3
1;keychain;127.0.0.1;8083;1450174109;True;6;5;3
2;motionsensor;127.0.0.1;8082;1450174110;True;6;6;3
1;keychain;127.0.0.1;8083;1450174114;True;7;6;4
2;motionsensor;127.0.0.1;8082;1450174115;True;7;7;4
1;keychain;127.0.0.1;8083;1450174119;True;8;7;5
2;motionsensor;127.0.0.1;8082;1450174120;True;8;8;5
1;keychain;127.0.0.1;8083;1450174124;False;9;8;6
2;motionsensor;127.0.0.1;8082;1450174125;False;9;9;6
1;keychain;127.0.0.1;8083;1450174129;False;10;9;6
2;motionsensor;127.0.0.1;8082;1450174130;False;10;10;6
